bdev_aio_create			construct_aio_bdev
bdev_aio_delete			delete_aio_bdev

bdev_compress_create		construct_compress_bdev
bdev_compress_delete		delete_compress_bdev

bdev_crypto_create		construct_crypto_bdev
bdev_crypto_delete		delete_crypto_bdev

bdev_error_create		construct_error_bdev
bdev_error_delete		delete_error_bdev
bdev_error_inject_error		bdev_inject_error

bdev_iscsi_create		construct_iscsi_bdev
bdev_iscsi_delete		delete_iscsi_bdev

bdev_lvol_create_lvstore	construct_lvol_store
bdev_lvol_rename_lvstore	rename_lvol_store
bdev_lvol_delete_lvstore	destroy_lvol_store
bdev_lvol_create		construct_lvol_bdev
bdev_lvol_delete		destroy_lvol_bdev
bdev_lvol_snapshot		snapshot_lvol_bdev
bdev_lvol_clone			clone_lvol_bdev
bdev_lvol_rename		rename_lvol_bdev
bdev_lvol_inflate		inflate_lvol_bdev
bdev_lvol_decouple_parent	decouple_parent_lvol_bdev
bdev_lvol_resize		resize_lvol_bdev
bdev_lvol_set_read_only		set_read_only_lvol_bdev
bdev_lvol_get_lvstores		get_lvol_stores

bdev_malloc_create		construct_malloc_bdev
bdev_malloc_delete		delete_malloc_bdev

bdev_null_create		construct_null_bdev
bdev_null_delete		delete_null_bdev

bdev_ftl_create			construct_ftl_bdev
bdev_ftl_delete			delete_ftl_bdev

bdev_nvme_set_options		set_bdev_nvme_options
bdev_nvme_set_hotplug		set_bdev_nvme_hotplug
bdev_nvme_attach_controller	construct_nvme_bdev
bdev_nvme_detach_controller	delete_nvme_controller
bdev_nvme_get_controllers	get_nvme_controllers
bdev_nvme_apply_firmware	apply_nvme_firmware
bdev_nvme_send_cmd		send_nvme_cmd

bdev_ocf_create			construct_ocf_bdev
bdev_ocf_delete			delete_ocf_bdev
bdev_ocf_get_stats		get_ocf_stats
bdev_ocf_get_bdevs		get_ocf_bdevs

bdev_passthru_create		construct_passthru_bdev
bdev_passthru_delete		delete_passthru_bdev

bdev_pmem_create		construct_pmem_bdev
bdev_pmem_delete		delete_pmem_bdev
bdev_pmem_create_pool		create_pmem_pool
bdev_pmem_get_pool_info		pmem_pool_info
bdev_pmem_delete_pool		delete_pmem_pool

bdev_raid_get_bdevs		get_raid_bdevs
